season,offense_team,roster_position,total_plays,play_distance_SUM,medium_acceleration_count_SUM,high_acceleration_count_SUM,medium_deceleration_count_SUM,high_deceleration_count_SUM,targeted_tightwindow_catch_SUM,targeted_catch_SUM,tight_window_at_throw_SUM,max_speed_max,max_speed_99,average_separation_max,average_separation_99,max_speed_0_10_yards_max,max_speed_10_20_yards_max,max_speed_30_inf_yards_max,flying_10_min,flying_20_min,separation_at_throw_VMAN,separation_at_outcome_VMAN,10ydplus_route_MEAN,20ydplus_route_MEAN,changedir_route_MEAN,expected_yac_at_catch_MEAN,YACOE_MEAN,separation_change_postthrow_MEAN,CPOE_MEAN,cod_top5_speed_entry_avg_180_,cod_top5_speed_entry_avg_90_,cod_top5_speed_exit_avg_180_,cod_top5_speed_exit_avg_90_,cod_sep_generated_overall,tracking_player_name,draft_round,draft_pick,draft_year,drafted,undrafted,draft_capital,tracking_player_name_college,games_played,receptions,rec_yards,rec_tds,yards_per_rec,yards_per_game_college,recs_per_game,tds_per_game,production_score,volume_tier,speed_score,burst_rate,first_step_quickness,brake_rate,route_diversity,separation_consistency,man_coverage_win_rate,tracking_skill,contested_catch_rate,tight_window_target_pct,yac_ability,qb_friendly,sharp_cut_ability,route_bend_ability,cut_separation,high_volume_player,distance_per_play,total_explosive_events,explosive_rate,athleticism_score,route_running_grade,prospect_score,rookie_season,yards_per_game_nfl,targets_per_game,receptions_per_game,catch_rate,player_name,archetype
2022.0,TXRI,WR,56.0,488.0,8.0,30.0,26.0,12.0,0.0,0.0,11.0,20.61,19.6758,8.22,8.0364,17.5,18.21,20.61,1.05,2.05,3.68,3.27,60.71428571,0.0,14.28571429,,,-0.16,,10.813348,15.936393,4.90896,17.6422568,0.7424902545,Luke McCaffrey,3.0,100.0,2024.0,True,False,50.0,Luke McCaffrey,11.0,58.0,723.0,6.0,12.5,65.7,5.2727272727272725,0.5454545454545454,54.31818181818182,50-100 (Rotational),20.142899999999997,53.57142857142857,17.5,21.428571428571427,22.5,8.0364,3.68,-0.16,0.0,19.642857142857142,,,16.7893249,7.861154,0.7424902545,0,8.714285714285714,42.0,75.0,59.07744460339532,47.98249804904701,53.529971326221165,2024,14.0,2.0,1.5,0.75,Luke McCaffrey,4.0
2022.0,MSUN,WR,219.0,1800.0,42.0,84.0,35.0,53.0,0.0,0.0,38.0,19.71,18.7938,12.949,10.8147,16.48,18.69,19.71,1.08,2.14,1.785,0.985,59.36073059,0.9132420091,15.52511416,,,0.4921311475,,8.2920516,14.2946186,6.299832,14.8809668,0.9852397327,,,,,False,True,0.0,Malik Heath,13.0,60.0,971.0,5.0,16.2,74.7,4.615384615384615,0.3846153846153846,54.26923076923077,200-300 (Workhorse),19.2519,38.35616438356164,16.48,24.200913242009133,22.831050228640002,10.8147,1.785,0.4921311475,0.0,17.35159817351598,,,14.5877927,7.2959418000000005,0.9852397327,1,8.219178082191782,137.0,62.55707762557078,49.88230133777668,52.29382009005016,51.08806071391342,2023,10.416666666666666,2.0,1.25,0.625,Malik Heath,1.0
2022.0,LAST,WR,105.0,906.0,19.0,48.0,37.0,26.0,0.0,0.0,11.0,18.93,18.833,9.68,9.0314,16.46,18.66,18.82,1.14,2.25,,,60.95238095,0.9523809524,20.0,,,-0.08,,12.3583068,15.6814,7.4752552,17.3681734,2.147438084,Malik Nabers,1.0,6.0,2024.0,True,False,70.0,Malik Nabers,14.0,72.0,1017.0,3.0,14.1,72.6,5.142857142857143,0.2142857142857142,50.892857142857146,100-150 (Starter),18.8265,45.714285714285715,16.46,24.761904761904763,24.666666665959998,9.0314,,-0.08,0.0,10.476190476190476,,,16.5247867,9.916781,2.147438084,0,8.628571428571428,74.0,70.47619047619048,51.629066650517764,51.277807742602185,51.453437196559975,2024,80.26666666666667,11.333333333333334,7.266666666666667,0.6411764705882353,Malik Nabers,4.0
2022.0,ILNW,WR,184.0,1528.0,32.0,89.0,60.0,52.0,0.0,0.0,35.0,18.65,18.5425,10.647,9.731,16.81,18.51,18.27,1.14,2.33,4.41,3.825,55.43478261,1.086956522,19.02173913,,,0.3647916667,,11.7419596,15.1400508,9.2574804,15.299592,0.5957688071,Malik Washington,6.0,184.0,2024.0,True,False,20.0,Malik Washington,12.0,65.0,694.0,1.0,10.7,57.8,5.416666666666667,0.0833333333333333,41.416666666666664,150-200 (Heavy),18.40625,48.369565217391305,16.81,28.26086956521739,22.771739130799997,9.731,4.41,0.3647916667,0.0,19.021739130434785,,,15.2198214,10.49972,0.5957688071,1,8.304347826086957,141.0,76.63043478260869,51.41834093522651,54.85045927357095,53.13440010439873,2024,18.583333333333332,3.0,2.1666666666666665,0.7222222222222222,Malik Washington,0.0
2022.0,OHST,WR,134.0,1137.0,23.0,51.0,31.0,34.0,0.0,0.0,39.0,20.49,19.8172,9.43,9.1276,16.64,19.66,20.49,1.05,2.05,1.505,5.485,61.94029851,2.23880597,17.1641791,,,0.3717307692,,12.9896536,16.108207,12.6569352,16.9727292,0.7243306217,Marvin Harrison Jr.,1.0,4.0,2024.0,True,False,70.0,Marvin Harrison Jr.,13.0,77.0,1263.0,14.0,16.4,97.2,5.923076923076923,1.0769230769230769,81.96153846153847,100-150 (Starter),20.153599999999997,38.059701492537314,16.64,25.37313432835821,24.626865670999997,9.1276,1.505,0.3717307692,0.0,29.1044776119403,,,16.5404681,12.8232944,0.7243306217,0,8.485074626865671,85.0,63.43283582089553,52.601086069829805,48.03450223452237,50.31779415217609,2024,52.05882352941177,6.823529411764706,3.6470588235294117,0.5344827586206896,Marvin Harrison Jr.,1.0
2022.0,OKUN,WR,287.0,2426.0,62.0,118.0,80.0,63.0,0.0,0.0,42.0,21.84,20.7125,12.814,10.0778,17.0,20.28,21.84,0.95,1.95,3.405,2.596666667,60.27874564,1.045296167,16.37630662,,,-0.6232692308,,10.847438,13.6182732,8.2334168,14.3750712,0.80182479,Marvin Mims Jr.,2.0,63.0,2023.0,True,False,60.0,Marvin Mims Jr.,13.0,54.0,1083.0,6.0,20.1,83.3,4.153846153846154,0.4615384615384615,59.19230769230769,200-300 (Workhorse),21.276249999999997,41.11498257839721,17.0,21.951219512195124,23.414634144799997,10.0778,3.405,-0.6232692308,0.0,14.634146341463413,,,13.9966722,9.5404274,0.80182479,1,8.452961672473867,181.0,63.06620209059234,57.4232513625012,54.14538431089157,55.78431783669639,2023,25.133333333333333,2.2,1.4666666666666666,0.6666666666666666,Marvin Mims Jr.,1.0
2022.0,CTYA,WR,60.0,502.0,12.0,21.0,2.0,2.0,0.0,0.0,6.0,16.81,16.4908,10.19,10.0836,15.7,16.24,2.66,1.26,2.77,,,60.0,0.0,1.666666667,,,-0.9342857143,,8.6738596,10.0483684,9.5874716,12.211038,,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),9.5754,35.0,15.7,3.3333333333333335,18.500000000100002,10.0836,,-0.9342857143,0.0,10.0,,,11.1297032,9.1306656,,0,8.366666666666667,23.0,38.333333333333336,17.962177320670236,48.86778449184831,33.414980906259274,2024,11.0,2.888888888888889,1.5555555555555556,0.5384615384615384,Mason Tipton,3.0
2022.0,CAST,WR,62.0,467.0,6.0,22.0,10.0,16.0,0.0,0.0,12.0,20.17,19.6741,9.51,9.4148,17.35,18.94,20.17,1.05,2.15,1.705,1.885,54.83870968,0.0,17.74193548,,,0.1726086957,,10.1983644,7.370258,5.7230292,15.47686,0.070181194,Michael Wilson,3.0,94.0,2023.0,True,False,50.0,Michael Wilson,6.0,26.0,418.0,4.0,16.1,69.7,4.333333333333333,0.6666666666666666,56.833333333333336,50-100 (Rotational),19.92205,35.483870967741936,17.35,25.806451612903224,21.774193548,9.4148,1.705,0.1726086957,0.0,19.35483870967742,,,11.423559000000001,7.960696800000001,0.070181194,0,7.532258064516129,38.0,61.29032258064516,50.789924131987945,47.14165886970379,48.96579150084587,2023,43.46153846153846,4.461538461538462,2.923076923076923,0.6551724137931034,Michael Wilson,1.0
2022.0,PAST,WR,94.0,859.0,13.0,54.0,37.0,23.0,0.0,0.0,19.0,19.72,19.3014,12.3325,10.819825,18.24,19.26,19.17,1.14,2.15,4.49,3.273333333,57.44680851,4.255319149,17.0212766,,,-0.3416326531,,12.1210404,13.0128348,9.7470128,15.4591332,0.4782480694,Parker Washington,6.0,185.0,2023.0,True,False,20.0,Parker Washington,10.0,46.0,611.0,2.0,13.3,61.1,4.6,0.2,43.75,50-100 (Rotational),19.2357,57.446808510638306,18.24,24.46808510638298,24.042553192599996,10.819825,4.49,-0.3416326531,0.0,20.212765957446805,,,14.235984,10.9340266,0.4782480694,0,9.138297872340425,77.0,81.91489361702128,57.8433487046617,59.24185485236187,58.54260177851178,2023,22.0,3.5,2.6666666666666665,0.7619047619047619,Parker Washington,0.0
2022.0,MDUN,WR,54.0,506.0,5.0,24.0,31.0,13.0,0.0,0.0,4.0,19.21,18.9136,10.07,9.55599,17.18,19.21,18.64,1.15,2.25,2.92,1.13,61.11111111,0.0,18.51851852,,,-1.154827586,,3.879442,15.4004984,6.003249,16.1163884,0.8549623585,,,,,False,True,0.0,Rakim Jarrett,11.0,40.0,471.0,3.0,11.8,42.8,3.636363636363636,0.2727272727272727,34.13636363636363,50-100 (Rotational),18.7768,44.44444444444444,17.18,24.074074074074073,23.888888889,9.55599,2.92,-1.154827586,0.0,7.4074074074074066,,,15.7584434,4.941345500000001,0.8549623585,0,9.37037037037037,37.0,68.51851851851852,50.93941636322094,51.88161243408608,51.41051439865351,2023,10.0,1.5,0.6666666666666666,0.4444444444444444,Rakim Jarrett,4.0
