Model,CV R² Mean,CV R² Std,Train R²,Test R²,Test MAE,Test RMSE,Overfit Gap
elastic_net,-0.3043737794395004,0.8301828623050308,0.490153818591925,0.11983645586832614,1.8244322574601075,2.577317666173161,0.37031736272359883
ridge,-0.6564674387796152,1.28060668135987,0.5114791302124513,0.10142233320479799,1.8335487963343575,2.604138466381759,0.4100567970076533
random_forest,-0.09352843514512976,0.6483696015752504,0.6739444789003054,0.08433178833091037,2.0785003729976177,2.628786593128106,0.589612690569395
gradient_boosting,-0.01628373558034908,0.6429875041049895,0.9966947384422726,0.02523178668910242,2.0892006609642433,2.712295114877819,0.9714629517531702
xgboost,0.0871303915319577,0.5346623811282339,0.9973690505315524,-0.17831893528308296,2.2038740144966456,2.982069018838508,1.1756879858146354
lightgbm,-0.3532611979598166,0.7573427800466289,0.8261135861413684,-0.1902614740413684,2.1470631317747144,2.9971429052276903,1.0163750601827368
